CustomerID,total_transactions,total_quantity,total_revenue,avg_order_value,first_purchase_date,last_purchase_date,recency_days
12346,1,74215,77183.6,77183.6,2011-01-18 10:01:00,2011-01-18 10:01:00,325
12347,7,2458,4310.0,23.681318681318682,2010-12-07 14:57:00,2011-12-07 15:52:00,1
12348,4,2341,1797.24,57.97548387096774,2010-12-16 19:09:00,2011-09-25 13:13:00,74
12349,1,631,1757.55,24.076027397260273,2011-11-21 09:51:00,2011-11-21 09:51:00,18
12350,1,197,334.4,19.670588235294115,2011-02-02 16:01:00,2011-02-02 16:01:00,309
12352,8,536,2506.04,29.482823529411764,2011-02-16 12:33:00,2011-11-03 14:37:00,35
12353,1,20,89.0,22.25,2011-05-19 17:47:00,2011-05-19 17:47:00,203
12354,1,530,1079.4,18.610344827586207,2011-04-21 13:11:00,2011-04-21 13:11:00,231
12355,1,240,459.4,35.33846153846154,2011-05-09 13:49:00,2011-05-09 13:49:00,213
12356,3,1591,2811.43,47.65135593220339,2011-01-18 09:50:00,2011-11-17 08:40:00,22
12357,1,2708,6207.67,47.38679389312977,2011-11-06 16:07:00,2011-11-06 16:07:00,32
12358,2,248,1168.06,61.47684210526315,2011-07-12 10:04:00,2011-12-08 10:26:00,1
12359,4,1609,6310.03,25.755224489795918,2011-01-12 12:43:00,2011-10-13 12:47:00,57
12360,3,1165,2662.06,20.63612403100775,2011-05-23 09:43:00,2011-10-18 15:22:00,51
12361,1,91,189.9,18.990000000000002,2011-02-25 13:51:00,2011-02-25 13:51:00,286
12362,10,2229,5226.23,19.647481203007516,2011-02-17 10:30:00,2011-12-06 15:40:00,2
12363,2,408,552.0,24.0,2011-04-11 13:29:00,2011-08-22 10:18:00,109
12364,4,1506,1313.1,15.448235294117646,2011-08-19 15:24:00,2011-12-02 10:22:00,7
12365,2,174,641.38,29.153636363636362,2011-02-21 13:51:00,2011-02-21 14:04:00,290
12367,1,173,168.9,15.354545454545455,2011-12-05 16:48:00,2011-12-05 16:48:00,3
12370,4,2352,3541.94,21.33698795180723,2010-12-14 12:58:00,2011-10-19 14:51:00,50
12371,2,591,1887.96,29.96761904761905,2011-10-11 10:43:00,2011-10-26 10:16:00,44
12372,3,794,1298.04,24.962307692307693,2011-02-16 12:46:00,2011-09-29 12:12:00,71
12373,1,197,364.6,26.042857142857144,2011-02-01 13:10:00,2011-02-01 13:10:00,310
12374,1,342,742.9300000000001,22.513030303030305,2011-11-14 15:37:00,2011-11-14 15:37:00,24
12375,2,178,457.5,26.91176470588235,2011-09-02 14:23:00,2011-11-29 10:36:00,10
12377,2,944,1628.12,21.144415584415583,2010-12-20 09:37:00,2011-01-28 15:45:00,314
12378,1,2529,4008.62,18.30420091324201,2011-08-02 10:34:00,2011-08-02 10:34:00,129
12379,2,407,852.24,21.306,2011-06-22 16:32:00,2011-09-19 10:09:00,81
12380,4,1127,2724.81,26.200096153846154,2011-06-07 09:49:00,2011-11-18 11:27:00,21
12381,5,808,1845.31,21.21045977011494,2011-08-12 09:57:00,2011-12-05 12:44:00,4
12383,5,1532,1850.56,18.69252525252525,2010-12-22 14:28:00,2011-06-08 08:02:00,184
12384,2,126,585.27,21.676666666666666,2011-08-10 11:23:00,2011-11-11 08:39:00,28
12386,2,354,401.9,40.19,2010-12-08 09:53:00,2011-01-06 12:37:00,337
12388,6,1462,2780.66,27.8066,2011-01-17 11:12:00,2011-11-24 12:30:00,15
12390,1,353,549.84,17.1825,2011-09-21 09:33:00,2011-09-21 09:33:00,79
12391,1,293,439.66,4.72752688172043,2011-11-18 12:07:00,2011-11-18 12:07:00,21
12393,4,816,1582.6000000000001,24.728125000000002,2011-01-11 09:47:00,2011-09-28 15:41:00,71
12394,2,819,1272.48,47.12888888888889,2011-05-06 14:01:00,2011-10-07 08:08:00,63
12395,12,2118,3018.63,19.350192307692307,2010-12-03 16:35:00,2011-11-20 15:21:00,18
12397,2,1263,2409.9,19.126190476190477,2011-07-27 14:21:00,2011-11-04 09:52:00,35
12398,1,1394,1635.6599999999999,19.24305882352941,2011-10-25 10:27:00,2011-10-25 10:27:00,45
12399,4,1178,1108.65,18.790677966101697,2011-03-23 09:42:00,2011-08-12 13:15:00,118
12401,1,11,84.3,16.86,2011-02-09 13:50:00,2011-02-09 13:50:00,302
12402,1,94,225.6,20.509090909090908,2011-01-20 13:49:00,2011-01-20 13:49:00,322
12403,1,96,427.7,85.53999999999999,2011-10-21 10:51:00,2011-10-21 10:51:00,49
12405,1,857,1710.39,31.67388888888889,2011-07-14 08:52:00,2011-07-14 08:52:00,148
12406,2,1818,3415.3,32.52666666666667,2011-06-09 10:23:00,2011-11-17 19:22:00,21
12407,5,1416,1708.1200000000001,22.183376623376624,2011-03-20 13:21:00,2011-10-21 10:11:00,49
12408,5,1409,2888.55,27.51,2011-03-24 14:46:00,2011-11-07 12:27:00,32
12409,3,5551,11072.67,101.58412844036697,2011-06-10 12:19:00,2011-09-22 10:38:00,78
12410,2,211,693.3299999999999,26.666538461538458,2011-02-04 10:38:00,2011-02-04 10:39:00,308
12412,3,829,1226.88,20.112786885245903,2011-06-23 13:51:00,2011-09-26 10:16:00,74
12413,3,286,758.1,19.95,2011-01-06 16:12:00,2011-10-04 09:00:00,66
12414,3,300,562.41,31.244999999999997,2011-02-02 14:51:00,2011-05-06 14:51:00,216
12415,21,77374,124914.53,174.95032212885152,2011-01-06 11:12:00,2011-11-15 14:22:00,23
12417,9,1552,3649.1,19.005729166666665,2010-12-17 11:51:00,2011-12-06 14:52:00,2
12418,1,407,668.58,19.664117647058823,2011-08-19 11:08:00,2011-08-19 11:08:00,112
12420,1,345,600.39,20.70310344827586,2011-10-07 08:55:00,2011-10-07 08:55:00,63
12421,4,484,807.04,17.93422222222222,2011-01-24 15:09:00,2011-11-24 09:07:00,15
12422,3,370,803.5600000000001,20.604102564102565,2011-01-19 09:13:00,2011-09-05 09:48:00,95
12423,8,1339,1859.31,14.87448,2010-12-21 10:54:00,2011-12-09 10:10:00,0
12424,2,740,1760.96,58.69866666666667,2011-06-30 12:06:00,2011-06-30 12:06:00,162
12425,1,496,777.2,21.58888888888889,2011-09-22 17:31:00,2011-09-22 17:31:00,77
12426,1,258,582.73,19.424333333333333,2011-05-29 12:26:00,2011-05-29 12:26:00,194
12427,3,533,825.8,26.638709677419353,2010-12-03 10:44:00,2011-11-18 08:56:00,21
12428,9,3536,7956.46,27.062789115646257,2011-03-01 09:33:00,2011-11-14 08:22:00,25
12429,4,1557,3750.4,38.66391752577319,2010-12-09 12:05:00,2011-11-30 17:22:00,8
12430,1,117,256.4,23.30909090909091,2011-10-27 15:09:00,2011-10-27 15:09:00,42
12431,15,2896,6419.95,27.43568376068376,2010-12-01 10:03:00,2011-11-04 11:55:00,35
12432,5,1801,5059.32,46.845555555555556,2011-06-20 13:27:00,2011-10-28 11:43:00,42
12433,7,11071,13375.87,31.847309523809525,2010-12-01 13:24:00,2011-12-09 10:02:00,0
12434,2,394,806.14,16.122799999999998,2011-03-24 13:05:00,2011-09-16 12:38:00,84
12435,2,2055,7829.89,217.49694444444447,2011-03-17 07:40:00,2011-09-21 09:06:00,79
12436,1,211,509.01,31.813125,2011-09-01 12:09:00,2011-09-01 12:09:00,99
12437,18,2922,4951.41,24.88145728643216,2011-01-12 14:13:00,2011-12-08 11:35:00,1
12438,2,1180,2906.85,29.66173469387755,2011-07-22 13:29:00,2011-11-25 13:28:00,13
12441,1,121,173.55,15.77727272727273,2010-12-08 10:45:00,2010-12-08 10:45:00,366
12442,1,182,172.06,14.338333333333333,2011-12-06 14:22:00,2011-12-06 14:22:00,2
12444,5,1153,5005.46,28.440113636363638,2011-06-21 14:00:00,2011-11-18 13:23:00,20
12445,1,62,133.4,33.35,2011-11-17 18:43:00,2011-11-17 18:43:00,21
12446,1,351,1002.3100000000001,17.584385964912283,2011-10-13 12:50:00,2011-10-13 12:50:00,57
12447,1,190,476.49,18.326538461538462,2011-04-10 13:25:00,2011-04-10 13:25:00,242
12448,1,243,449.45,20.429545454545455,2011-10-26 13:46:00,2011-10-26 13:46:00,43
12449,4,1553,4067.29,21.294712041884818,2011-06-05 15:37:00,2011-11-17 13:46:00,21
12450,2,128,197.88,24.735,2011-06-19 14:36:00,2011-07-06 14:41:00,155
12451,5,6575,9035.52,25.524067796610172,2011-01-19 09:05:00,2011-11-29 08:40:00,10
12452,2,185,430.57,19.571363636363635,2011-11-23 08:05:00,2011-11-23 10:28:00,16
12453,1,473,707.09,16.443953488372095,2011-07-28 14:08:00,2011-07-28 14:08:00,133
12454,1,1006,3528.34,235.22266666666667,2011-10-14 17:13:00,2011-10-14 17:13:00,55
12455,6,2089,2466.86,27.409555555555556,2011-02-16 09:56:00,2011-09-27 15:31:00,72
12456,3,1633,3181.04,25.44832,2011-03-30 09:12:00,2011-10-26 14:41:00,43
12457,7,843,2363.23,38.11661290322581,2011-04-14 18:57:00,2011-10-04 13:13:00,65
12458,2,506,947.4,24.931578947368422,2011-02-28 10:55:00,2011-09-29 15:25:00,70
12461,2,287,826.88,23.62514285714286,2011-07-08 10:23:00,2011-09-06 16:57:00,93
12462,2,536,1189.59,19.186935483870965,2011-02-09 14:44:00,2011-11-21 09:11:00,18
12463,4,776,1344.78,16.202168674698793,2011-04-12 12:47:00,2011-10-17 13:44:00,52
12464,8,112,1212.05,41.79482758620689,2011-02-03 13:30:00,2011-11-29 13:33:00,9
12465,2,479,742.1899999999999,15.79127659574468,2011-06-23 13:37:00,2011-11-22 16:34:00,16
12468,2,366,729.5400000000001,19.19842105263158,2011-01-27 13:29:00,2011-06-05 11:36:00,187
12471,30,8200,19788.65,43.11252723311547,2010-12-10 09:35:00,2011-12-07 15:43:00,1
12472,7,4148,6572.11,19.386755162241887,2010-12-05 14:19:00,2011-11-07 14:01:00,31
12473,5,2414,3928.0499999999997,23.52125748502994,2011-06-01 10:15:00,2011-11-10 13:46:00,28
12474,18,4833,7324.09,17.355663507109004,2011-01-14 10:06:00,2011-11-22 14:39:00,16
12475,1,535,723.38,20.093888888888888,2011-10-17 10:10:00,2011-10-17 10:10:00,53
12476,11,2408,6816.42,29.255021459227468,2010-12-13 14:39:00,2011-11-24 12:40:00,15
12477,6,3653,13219.74,44.065799999999996,2011-02-11 12:45:00,2011-11-17 09:51:00,22
12478,1,236,680.99,18.91638888888889,2011-12-06 09:56:00,2011-12-06 09:56:00,3
12479,1,385,527.2,17.006451612903227,2011-11-28 13:26:00,2011-11-28 13:26:00,10
12480,4,1707,3281.63,21.309285714285714,2011-01-07 15:27:00,2011-11-11 14:52:00,27
12481,10,3294,5579.82,25.8325,2010-12-09 10:13:00,2011-11-17 08:29:00,22
12483,8,1110,2484.98,33.133066666666664,2011-01-04 14:20:00,2011-11-22 17:02:00,16
12484,6,2187,4527.32,13.199183673469387,2011-01-07 14:04:00,2011-11-07 11:37:00,32
12488,3,529,1298.66,23.612000000000002,2011-09-25 10:34:00,2011-11-30 08:50:00,9
12489,1,105,334.93,22.328666666666667,2011-01-07 13:13:00,2011-01-07 13:13:00,335
12490,10,3064,5417.93,22.114,2011-01-14 09:13:00,2011-12-04 16:07:00,4
12491,1,260,460.40000000000003,17.70769230769231,2011-11-01 12:18:00,2011-11-01 12:18:00,38
12492,2,192,263.21000000000004,13.160500000000003,2011-08-26 14:51:00,2011-10-07 15:15:00,62
